	(1)	(2)	(3)	(4)
VARIABLES	tr_inout	tr_inout	tr_inout	tr_inout
				
reps_ignore	0.254***	-0.0370	0.182***	-0.00430
	(0.0571)	(0.0404)	(0.0510)	(0.0387)
Constant	0.378***	0.330***	0.449***	0.298***
	(0.0383)	(0.0289)	(0.0355)	(0.0250)
				
Observations	71	125	66	153
R-squared	0.222	0.007	0.166	0.000
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
